NAME	IDX	IDY	OFFSETX	OFFSETY	FRAMEX	FRAMEY	TYPE	KIND	TYPENAME	OBJECTKIND	MONPROPERTIES
기로곤	43	36	64.000000	57.000000	0	0	8	0	class Actor *	1	3
기로곤	39	41	64.000000	57.000000	0	0	8	0	class Actor *	1	3
기로곤	32	41	64.000000	57.000000	0	0	8	0	class Actor *	1	3
기로곤	24	32	64.000000	57.000000	0	0	8	0	class Actor *	1	3
기로곤	25	27	64.000000	57.000000	0	0	8	0	class Actor *	1	3
기로곤	27	23	64.000000	57.000000	0	0	8	0	class Actor *	1	3
기로곤	31	22	64.000000	57.000000	0	0	8	0	class Actor *	1	3
기로곤	41	27	64.000000	57.000000	0	0	8	0	class Actor *	1	3
블러웜	38	52	64.000000	57.000000	4	0	9	0	class Actor *	1	3
블러웜	45	52	64.000000	57.000000	1	0	9	0	class Actor *	1	3
블러웜	52	44	64.000000	57.000000	1	0	9	0	class Actor *	1	3
블러웜	50	30	64.000000	57.000000	3	0	9	0	class Actor *	1	3
블러웜	42	21	64.000000	57.000000	5	0	9	0	class Actor *	1	3
블러웜	34	15	64.000000	57.000000	1	0	9	0	class Actor *	1	3
블러웜	25	16	64.000000	57.000000	4	0	9	0	class Actor *	1	3
블러웜	19	19	64.000000	57.000000	0	0	9	0	class Actor *	1	3
블러웜	16	26	64.000000	57.000000	1	0	9	0	class Actor *	1	3
블러웜	18	36	64.000000	57.000000	5	0	9	0	class Actor *	1	3
블러웜	18	37	64.000000	57.000000	5	0	9	0	class Actor *	1	3
블러웜	25	43	64.000000	57.000000	0	0	9	0	class Actor *	1	3
블러웜	28	48	64.000000	57.000000	3	0	9	0	class Actor *	1	3
프로칸	18	52	64.000000	57.000000	1	0	12	0	class Actor *	1	3
프로칸	19	57	64.000000	57.000000	3	0	12	0	class Actor *	1	3
프로칸	18	44	64.000000	57.000000	0	0	12	0	class Actor *	1	3
프로칸	11	37	64.000000	57.000000	0	0	12	0	class Actor *	1	3
프로칸	10	27	64.000000	57.000000	1	0	12	0	class Actor *	1	3
프로칸	12	21	64.000000	57.000000	3	0	12	0	class Actor *	1	3
프로칸	12	22	64.000000	57.000000	3	0	12	0	class Actor *	1	3
프로칸	12	12	64.000000	57.000000	3	0	12	0	class Actor *	1	3
프로칸	7	5	64.000000	57.000000	3	0	12	0	class Actor *	1	3
프로칸	18	7	64.000000	57.000000	1	0	12	0	class Actor *	1	3
프로칸	27	6	64.000000	57.000000	1	0	12	0	class Actor *	1	3
프로칸	34	9	64.000000	57.000000	4	0	12	0	class Actor *	1	3
프로칸	35	9	64.000000	57.000000	3	0	12	0	class Actor *	1	3
프로칸	39	14	64.000000	57.000000	0	0	12	0	class Actor *	1	3
프로칸	49	16	64.000000	57.000000	4	0	12	0	class Actor *	1	3
프로칸	55	21	64.000000	57.000000	2	0	12	0	class Actor *	1	3
프로칸	56	13	64.000000	57.000000	3	0	12	0	class Actor *	1	3
프로칸	49	5	64.000000	57.000000	3	0	12	0	class Actor *	1	3
프로칸	60	6	64.000000	57.000000	4	0	12	0	class Actor *	1	3
프로칸	60	29	64.000000	57.000000	4	0	12	0	class Actor *	1	3
프로칸	61	41	64.000000	57.000000	4	0	12	0	class Actor *	1	3
프로칸	60	54	64.000000	57.000000	4	0	12	0	class Actor *	1	3
프로칸	59	59	64.000000	57.000000	2	0	12	0	class Actor *	1	3
카로움	56	53	64.000000	57.000000	1	0	11	0	class Actor *	1	3
카로움	57	61	64.000000	57.000000	4	0	11	0	class Actor *	1	3
카로움	48	54	64.000000	57.000000	4	0	11	0	class Actor *	1	3
카로움	46	60	64.000000	57.000000	3	0	11	0	class Actor *	1	3
카로움	50	49	64.000000	57.000000	1	0	11	0	class Actor *	1	3
카로움	47	45	64.000000	57.000000	4	0	11	0	class Actor *	1	3
카로움	44	48	64.000000	57.000000	2	0	11	0	class Actor *	1	3
카로움	30	50	64.000000	57.000000	2	0	11	0	class Actor *	1	3
카로움	30	54	64.000000	57.000000	0	0	11	0	class Actor *	1	3
카로움	37	57	64.000000	57.000000	2	0	11	0	class Actor *	1	3
카로움	32	47	64.000000	57.000000	0	0	11	0	class Actor *	1	3
카로움	31	47	64.000000	57.000000	0	0	11	0	class Actor *	1	3
카로움	14	44	64.000000	57.000000	0	0	11	0	class Actor *	1	3
카로움	14	45	64.000000	57.000000	0	0	11	0	class Actor *	1	3
카로움	8	51	64.000000	57.000000	0	0	11	0	class Actor *	1	3
카로움	8	55	64.000000	57.000000	3	0	11	0	class Actor *	1	3
카로움	5	60	64.000000	57.000000	2	0	11	0	class Actor *	1	3
카로움	4	38	64.000000	57.000000	2	0	11	0	class Actor *	1	3
카로움	5	21	64.000000	57.000000	2	0	11	0	class Actor *	1	3
카로움	3	14	64.000000	57.000000	0	0	11	0	class Actor *	1	3
카로움	3	2	64.000000	57.000000	2	0	11	0	class Actor *	1	3
카로움	13	3	64.000000	57.000000	0	0	11	0	class Actor *	1	3
카로움	41	5	64.000000	57.000000	3	0	11	0	class Actor *	1	3
게리	47	9	64.000000	57.000000	0	0	2	0	class Actor *	1	3
게리	45	13	64.000000	57.000000	0	0	2	0	class Actor *	1	3
게리	45	21	64.000000	57.000000	0	0	2	0	class Actor *	1	3
게리	52	27	64.000000	57.000000	0	0	2	0	class Actor *	1	3
게리	51	27	64.000000	57.000000	0	0	2	0	class Actor *	1	3
게리	54	36	64.000000	57.000000	0	0	2	0	class Actor *	1	3
게리	52	38	64.000000	57.000000	0	0	2	0	class Actor *	1	3
게리	49	51	64.000000	57.000000	0	0	2	0	class Actor *	1	3
게리	51	57	64.000000	57.000000	0	0	2	0	class Actor *	1	3
게리	52	61	64.000000	57.000000	0	0	2	0	class Actor *	1	3
게리	41	60	64.000000	57.000000	0	0	2	0	class Actor *	1	3
게리	32	61	64.000000	57.000000	0	0	2	0	class Actor *	1	3
게리	27	58	64.000000	57.000000	0	0	2	0	class Actor *	1	3
게리	25	51	64.000000	57.000000	0	0	2	0	class Actor *	1	3
게리	12	59	64.000000	57.000000	0	0	2	0	class Actor *	1	3
게리	15	49	64.000000	57.000000	0	0	2	0	class Actor *	1	3
게리	3	47	64.000000	57.000000	0	0	2	0	class Actor *	1	3
게리	2	8	64.000000	57.000000	0	0	2	0	class Actor *	1	3
게리	12	7	64.000000	57.000000	0	0	2	0	class Actor *	1	3
게리	20	8	64.000000	57.000000	0	0	2	0	class Actor *	1	3
게리	57	2	64.000000	57.000000	0	0	2	0	class Actor *	1	3
푸로로	54	6	64.000000	57.000000	0	0	4	0	class Actor *	1	3
푸로로	53	17	64.000000	57.000000	0	0	4	0	class Actor *	1	3
푸로로	58	20	64.000000	57.000000	0	0	4	0	class Actor *	1	3
푸로로	40	29	64.000000	57.000000	0	0	4	0	class Actor *	1	3
푸로로	45	32	64.000000	57.000000	0	0	4	0	class Actor *	1	3
푸로로	45	39	64.000000	57.000000	0	0	4	0	class Actor *	1	3
푸로로	37	46	64.000000	57.000000	0	0	4	0	class Actor *	1	3
푸로로	29	40	64.000000	57.000000	0	0	4	0	class Actor *	1	3
푸로로	24	20	64.000000	57.000000	0	0	4	0	class Actor *	1	3
카지사메	29	15	64.000000	57.000000	0	0	6	0	class Actor *	1	3
카지사메	18	28	64.000000	57.000000	1	0	6	0	class Actor *	1	3
카지사메	23	40	64.000000	57.000000	1	0	6	0	class Actor *	1	3
카지사메	34	53	64.000000	57.000000	3	0	6	0	class Actor *	1	3
프레이야	32	58	64.000000	57.000000	0	0	7	0	class Actor *	1	3
프레이야	21	46	64.000000	57.000000	0	0	7	0	class Actor *	1	3
프레이야	14	29	64.000000	57.000000	0	0	7	0	class Actor *	1	3
프레이야	9	13	64.000000	57.000000	0	0	7	0	class Actor *	1	3
프레이야	17	10	64.000000	57.000000	0	0	7	0	class Actor *	1	3
프레이야	25	7	64.000000	57.000000	0	0	7	0	class Actor *	1	3
누고일	30	11	64.000000	57.000000	2	0	5	0	class Actor *	1	3
누고일	42	9	64.000000	57.000000	1	0	5	0	class Actor *	1	3
누고일	53	8	64.000000	57.000000	1	0	5	0	class Actor *	1	3
누고일	62	20	64.000000	57.000000	1	0	5	0	class Actor *	1	3
누고일	58	31	64.000000	57.000000	1	0	5	0	class Actor *	1	3
누고일	59	47	64.000000	57.000000	2	0	5	0	class Actor *	1	3
가레스	53	54	64.000000	57.000000	1	0	10	0	class Actor *	1	3
가레스	41	56	64.000000	57.000000	1	0	10	0	class Actor *	1	3
가레스	20	58	64.000000	57.000000	1	0	10	0	class Actor *	1	3
가레스	11	54	64.000000	57.000000	4	0	10	0	class Actor *	1	3
가레스	4	54	64.000000	57.000000	4	0	10	0	class Actor *	1	3
가레스	6	7	64.000000	57.000000	1	0	10	0	class Actor *	1	3
가레스	37	5	64.000000	57.000000	0	0	10	0	class Actor *	1	3
가레스	50	12	64.000000	57.000000	2	0	10	0	class Actor *	1	3
가레스	52	24	64.000000	57.000000	1	0	10	0	class Actor *	1	3
Tree_Needeled_Middle	26	26	64.000000	57.000000	1	0	1	1	class Matter *	1
Tree_Needeled_Middle	25	30	64.000000	57.000000	1	0	1	1	class Matter *	1
Tree_Needeled_Middle	27	37	64.000000	57.000000	1	0	1	1	class Matter *	1
Tree_Needeled_Middle	36	42	64.000000	57.000000	1	0	1	1	class Matter *	1
Tree_Needeled_Middle	40	38	64.000000	57.000000	1	0	1	1	class Matter *	1
Tree_Needeled_Middle	38	27	64.000000	57.000000	1	0	1	1	class Matter *	1
Tree_Needeled_Middle	34	23	64.000000	57.000000	1	0	1	1	class Matter *	1
Tree_Needeled_Middle	29	22	64.000000	57.000000	1	0	1	1	class Matter *	1
Tree_Needeled_Middle	43	33	64.000000	57.000000	1	0	1	1	class Matter *	1
/
